

=== Predictions on test data ===

    inst#     actual  predicted error prediction
      549        1:?     2:mRNA       1 
      550        1:?     2:mRNA       1 
      551        1:?     2:mRNA       1 
      552        1:?     2:mRNA       1 
      553        1:?     2:mRNA       1 
      554        1:?     2:mRNA       1 
      555        1:?     2:mRNA       1 
      556        1:?     2:mRNA       1 
      557        1:?     2:mRNA       1 
      558        1:?     2:mRNA       1 
      559        1:?     2:mRNA       1 
      560        1:?     2:mRNA       1 
      561        1:?   1:lncRNA       0.863 
      562        1:?   1:lncRNA       0.852 
      563        1:?     2:mRNA       1 
      564        1:?   1:lncRNA       0.852 
      565        1:?     2:mRNA       1 
      566        1:?   1:lncRNA       0.852 
      567        1:?   1:lncRNA       0.782 
      568        1:?   1:lncRNA       0.825 
      569        1:?   1:lncRNA       0.782 
      570        1:?   1:lncRNA       0.782 
      571        1:?   1:lncRNA       0.782 
      572        1:?   1:lncRNA       0.782 
      573        1:?   1:lncRNA       0.782 
      574        1:?   1:lncRNA       0.852 
      575        1:?   1:lncRNA       0.782 
      576        1:?   1:lncRNA       0.852 
      577        1:?   1:lncRNA       0.852 
      578        1:?   1:lncRNA       0.852 
      579        1:?   1:lncRNA       0.852 
      580        1:?   1:lncRNA       0.852 
      581        1:?   1:lncRNA       0.852 
      582        1:?   1:lncRNA       0.852 
      583        1:?     2:mRNA       1 
      584        1:?   1:lncRNA       0.852 
      585        1:?     2:mRNA       1 
      586        1:?     2:mRNA       1 
      587        1:?   1:lncRNA       0.852 
      588        1:?     2:mRNA       1 
      589        1:?     2:mRNA       1 
      590        1:?     2:mRNA       1 
      591        1:?     2:mRNA       1 
      592        1:?   1:lncRNA       0.825 
      593        1:?   1:lncRNA       0.852 
      594        1:?     2:mRNA       1 
      595        1:?     2:mRNA       1 
      596        1:?     2:mRNA       1 
      597        1:?   1:lncRNA       0.852 
      598        1:?   1:lncRNA       0.863 
      599        1:?   1:lncRNA       0.852 
      600        1:?     2:mRNA       1 
      601        1:?   1:lncRNA       0.863 
      602        1:?   1:lncRNA       0.852 
      603        1:?   1:lncRNA       0.863 
      604        1:?   1:lncRNA       0.852 
      605        1:?   1:lncRNA       0.852 
      606        1:?   1:lncRNA       0.782 
      607        1:?   1:lncRNA       0.863 
      608        1:?   1:lncRNA       0.763 
      609        1:?   1:lncRNA       0.763 
      610        1:?   1:lncRNA       0.852 
      611        1:?     2:mRNA       0.596 
      612        1:?   1:lncRNA       0.852 
      613        1:?   1:lncRNA       0.782 
      614        1:?   1:lncRNA       0.852 
      615        1:?   1:lncRNA       0.863 
      616        1:?     2:mRNA       1 
      617        1:?   1:lncRNA       0.852 
      618        1:?   1:lncRNA       0.863 
      619        1:?   1:lncRNA       0.852 
      620        1:?   1:lncRNA       0.852 
      621        1:?   1:lncRNA       0.863 
      622        1:?   1:lncRNA       0.863 
      623        1:?   1:lncRNA       0.863 
      624        1:?   1:lncRNA       0.863 
      625        1:?   1:lncRNA       0.863 
      626        1:?   1:lncRNA       0.863 
      627        1:?     2:mRNA       1 
      628        1:?     2:mRNA       0.596 
      629        1:?     2:mRNA       1 
      630        1:?     2:mRNA       0.596 
      631        1:?     2:mRNA       1 
      632        1:?   1:lncRNA       0.852 
      633        1:?     2:mRNA       0.596 
      634        1:?     2:mRNA       0.596 
      635        1:?   1:lncRNA       0.852 
      636        1:?   1:lncRNA       0.863 
      637        1:?   1:lncRNA       0.863 
      638        1:?   1:lncRNA       0.852 
      639        1:?     2:mRNA       1 
      640        1:?   1:lncRNA       0.852 
      641        1:?     2:mRNA       1 
      642        1:?   1:lncRNA       0.852 
      643        1:?   1:lncRNA       0.863 
      644        1:?   1:lncRNA       0.863 
      645        1:?   1:lncRNA       0.863 
      646        1:?   1:lncRNA       0.852 
      647        1:?   1:lncRNA       0.782 
      648        1:?     2:mRNA       1 
      649        1:?   1:lncRNA       0.782 
      650        1:?   1:lncRNA       0.782 
      651        1:?   1:lncRNA       0.863 
      652        1:?   1:lncRNA       0.852 
      653        1:?     2:mRNA       0.596 
      654        1:?     2:mRNA       1 
      655        1:?     2:mRNA       0.596 
      656        1:?   1:lncRNA       0.863 
      657        1:?   1:lncRNA       0.863 
      658        1:?   1:lncRNA       0.782 
      659        1:?     2:mRNA       0.596 
      660        1:?   1:lncRNA       0.782 
      661        1:?   1:lncRNA       0.782 
      662        1:?     2:mRNA       1 
      663        1:?   1:lncRNA       0.852 
      664        1:?   1:lncRNA       0.863 
      665        1:?   1:lncRNA       0.782 
      666        1:?   1:lncRNA       0.852 
      667        1:?     2:mRNA       1 
      668        1:?     2:mRNA       1 
      669        1:?     2:mRNA       1 
      670        1:?     2:mRNA       1 
      671        1:?   1:lncRNA       0.863 
      672        1:?     2:mRNA       1 
      673        1:?   1:lncRNA       0.863 
      674        1:?   1:lncRNA       0.863 
      675        1:?     2:mRNA       1 
      676        1:?   1:lncRNA       0.697 
      677        1:?     2:mRNA       0.596 
      678        1:?   1:lncRNA       0.852 
      679        1:?     2:mRNA       1 
      680        1:?     2:mRNA       1 
      681        1:?   1:lncRNA       0.852 
      682        1:?     2:mRNA       1 
      683        1:?   1:lncRNA       0.852 
      684        1:?     2:mRNA       1 
      685        1:?     2:mRNA       1 
      686        1:?     2:mRNA       1 
      687        1:?   1:lncRNA       0.852 
      688        1:?   1:lncRNA       0.782 
      689        1:?   1:lncRNA       0.852 
      690        1:?   1:lncRNA       0.852 
      691        1:?   1:lncRNA       0.852 
      692        1:?   1:lncRNA       0.863 
      693        1:?   1:lncRNA       0.852 
      694        1:?     2:mRNA       1 
      695        1:?   1:lncRNA       0.852 
      696        1:?   1:lncRNA       0.852 
      697        1:?   1:lncRNA       0.852 
      698        1:?   1:lncRNA       0.852 
      699        1:?     2:mRNA       0.596 
      700        1:?   1:lncRNA       0.852 
      701        1:?   1:lncRNA       0.852 
      702        1:?   1:lncRNA       0.852 
      703        1:?     2:mRNA       1 
      704        1:?     2:mRNA       0.596 
      705        1:?   1:lncRNA       0.852 
      706        1:?   1:lncRNA       0.852 
      707        1:?   1:lncRNA       0.76 
      708        1:?   1:lncRNA       0.782 
      709        1:?   1:lncRNA       0.863 
      710        1:?   1:lncRNA       0.852 
      711        1:?     2:mRNA       0.596 
      712        1:?   1:lncRNA       0.863 
      713        1:?   1:lncRNA       0.863 
      714        1:?     2:mRNA       0.596 
      715        1:?   1:lncRNA       0.852 
      716        1:?   1:lncRNA       0.76 
      717        1:?   1:lncRNA       0.825 
      718        1:?   1:lncRNA       0.825 
      719        1:?   1:lncRNA       0.825 
      720        1:?   1:lncRNA       0.852 
